,BidPrice-Stock,BidVolume-Stock,AskPrice-Stock,AskVolume-Stock,TimeToExpiry,BidPrice-P60,BidVolume-P60,AskPrice-P60,AskVolume-P60,BidPrice-P70,BidVolume-P70,AskPrice-P70,AskVolume-P70,BidPrice-P80,BidVolume-P80,AskPrice-P80,AskVolume-P80,BidPrice-C60,BidVolume-C60,AskPrice-C60,AskVolume-C60,BidPrice-C70,BidVolume-C70,AskPrice-C70,AskVolume-C70,BidPrice-C80,BidVolume-C80,AskPrice-C80,AskVolume-C80
01/01/2018 00:05,70.7,120,70.9,120,0.91162481,1.3,20,1.35,20,4.92,20,5.02,20,11.42,20,11.53,20,12.06,20,12.17,20,5.71,20,5.81,20,2.22,20,2.3,20
01/01/2018 00:10,70.75,116,71,119,0.911615297,1.28,20,1.33,18,4.93,19,5.03,21,11.39,20,11.5,20,12.08,20,12.19,19,5.74,19,5.85,21,2.23,18,2.32,20
01/01/2018 00:15,70.85,120,71.05,107,0.911605784,1.28,23,1.33,20,4.96,18,5.07,19,11.36,21,11.47,22,12.11,20,12.22,19,5.77,20,5.88,24,2.25,19,2.34,20
01/01/2018 00:20,70.8,121,71.05,120,0.911596271,1.31,22,1.36,21,5,17,5.1,17,11.42,19,11.53,22,12.11,19,12.21,18,5.75,22,5.87,21,2.3,18,2.39,19
01/01/2018 00:25,70.75,137,71,139,0.911586758,1.3,24,1.35,21,5,17,5.1,17,11.41,18,11.51,20,12.11,19,12.21,18,5.72,22,5.84,23,2.31,19,2.4,19
01/01/2018 00:30,70.8,133,71,132,0.911577245,1.28,25,1.33,23,4.96,17,5.06,17,11.36,19,11.46,20,12.14,22,12.24,19,5.67,22,5.78,23,2.28,18,2.36,17
01/01/2018 00:35,70.8,132,71.05,141,0.911567732,1.29,28,1.34,21,4.94,16,5.04,17,11.34,22,11.45,24,12.11,21,12.21,18,5.67,21,5.79,26,2.2,17,2.28,17
01/01/2018 00:40,70.75,129,71.05,132,0.911558219,1.31,24,1.37,24,4.91,15,5.01,18,11.38,21,11.49,22,12.1,22,12.2,21,5.73,20,5.85,24,2.26,16,2.34,16
01/01/2018 00:45,70.8,143,71.05,135,0.911548706,1.31,24,1.36,23,4.97,15,5.07,20,11.39,24,11.51,25,12.09,20,12.2,20,5.69,24,5.81,25,2.29,15,2.37,14
01/01/2018 00:50,70.7,151,70.95,134,0.911539193,1.31,25,1.37,22,5.04,15,5.14,17,11.48,22,11.59,26,12.01,20,12.13,19,5.61,21,5.74,22,2.2,14,2.28,14
01/01/2018 00:55,70.65,175,70.9,156,0.91152968,1.31,24,1.37,21,5.07,14,5.17,15,11.51,21,11.63,25,12.01,22,12.13,21,5.59,22,5.72,23,2.22,15,2.3,14
01/01/2018 01:00,70.7,148,70.95,150,0.911520167,1.29,23,1.35,20,5.01,16,5.12,15,11.45,22,11.57,22,12.09,25,12.22,20,5.65,20,5.78,24,2.2,13,2.28,14
